start_name,end_name,:TYPE
"District Court, D. Maine","Court of Appeals for the First Circuit","APPEALS_TO"
"District Court, D. Massachusetts","Court of Appeals for the First Circuit","APPEALS_TO"
"District Court, D. New Hampshire","Court of Appeals for the First Circuit","APPEALS_TO"
"District Court, D. Puerto Rico","Court of Appeals for the First Circuit","APPEALS_TO"
"District Court, D. Rhode Island","Court of Appeals for the First Circuit","APPEALS_TO"
"Court of Appeals for the First Circuit","Supreme Court of the United States","APPEALS_TO"
"District Court, D. Connecticut","Court of Appeals for the Second Circuit","APPEALS_TO"
"District Court, E.D. New York","Court of Appeals for the Second Circuit","APPEALS_TO"
"District Court, N.D. New York","Court of Appeals for the Second Circuit","APPEALS_TO"
"District Court, S.D. New York","Court of Appeals for the Second Circuit","APPEALS_TO"
"District Court, W.D. New York","Court of Appeals for the Second Circuit","APPEALS_TO"
"Court of Appeals for the Second Circuit","Supreme Court of the United States","APPEALS_TO"
"District Court, D. Delaware","Court of Appeals for the Third Circuit","APPEALS_TO"
"District Court, D. New Jersey","Court of Appeals for the Third Circuit","APPEALS_TO"
"District Court, E.D. Pennsylvania","Court of Appeals for the Third Circuit","APPEALS_TO"
"District Court, M.D. Pennsylvania","Court of Appeals for the Third Circuit","APPEALS_TO"
"District Court, W.D. Pennsylvania","Court of Appeals for the Third Circuit","APPEALS_TO"
"Court of Appeals for the Third Circuit","Supreme Court of the United States","APPEALS_TO"
"District Court, D. Maryland","Court of Appeals for the Fourth Circuit","APPEALS_TO"
"District Court, D. South Carolina","Court of Appeals for the Fourth Circuit","APPEALS_TO"
"District Court, E.D. North Carolina","Court of Appeals for the Fourth Circuit","APPEALS_TO"
"District Court, M.D. North Carolina","Court of Appeals for the Fourth Circuit","APPEALS_TO"
"District Court, W.D. North Carolina","Court of Appeals for the Fourth Circuit","APPEALS_TO"
"District Court, E.D. Virginia","Court of Appeals for the Fourth Circuit","APPEALS_TO"
"District Court, W.D. Virginia","Court of Appeals for the Fourth Circuit","APPEALS_TO"
"Court of Appeals for the Fourth Circuit","Supreme Court of the United States","APPEALS_TO"
"District Court, E.D. Louisiana","Court of Appeals for the Fifth Circuit","APPEALS_TO"
"District Court, M.D. Louisiana","Court of Appeals for the Fifth Circuit","APPEALS_TO"
"District Court, N.D. Mississippi","Court of Appeals for the Fifth Circuit","APPEALS_TO"
"District Court, S.D. Mississippi","Court of Appeals for the Fifth Circuit","APPEALS_TO"
"District Court, E.D. Texas","Court of Appeals for the Fifth Circuit","APPEALS_TO"
"District Court, N.D. Texas","Court of Appeals for the Fifth Circuit","APPEALS_TO"
"District Court, S.D. Texas","Court of Appeals for the Fifth Circuit","APPEALS_TO"
"District Court, W.D. Texas","Court of Appeals for the Fifth Circuit","APPEALS_TO"
"Court of Appeals for the Fifth Circuit","Supreme Court of the United States","APPEALS_TO"
"District Court, E.D. Kentucky","Court of Appeals for the Sixth Circuit","APPEALS_TO"
"District Court, W.D. Kentucky","Court of Appeals for the Sixth Circuit","APPEALS_TO"
"District Court, E.D. Michigan","Court of Appeals for the Sixth Circuit","APPEALS_TO"
"District Court, W.D. Michigan","Court of Appeals for the Sixth Circuit","APPEALS_TO"
"District Court, N.D. Ohio","Court of Appeals for the Sixth Circuit","APPEALS_TO"
"District Court, S.D. Ohio","Court of Appeals for the Sixth Circuit","APPEALS_TO"
"District Court, E.D. Tennessee","Court of Appeals for the Sixth Circuit","APPEALS_TO"
"District Court, M.D. Tennessee","Court of Appeals for the Sixth Circuit","APPEALS_TO"
"District Court, W.D. Tennessee","Court of Appeals for the Sixth Circuit","APPEALS_TO"
"Court of Appeals for the Sixth Circuit","Supreme Court of the United States","APPEALS_TO"
"District Court, C.D. Illinois","Court of Appeals for the Seventh Circuit","APPEALS_TO"
"District Court, N.D. Illinois","Court of Appeals for the Seventh Circuit","APPEALS_TO"
"District Court, S.D. Illinois","Court of Appeals for the Seventh Circuit","APPEALS_TO"
"District Court, E.D. Illinois","Court of Appeals for the Seventh Circuit","APPEALS_TO"
"District Court, N.D. Indiana","Court of Appeals for the Seventh Circuit","APPEALS_TO"
"District Court, S.D. Indiana","Court of Appeals for the Seventh Circuit","APPEALS_TO"
"District Court, E.D. Wisconsin","Court of Appeals for the Seventh Circuit","APPEALS_TO"
"District Court, W.D. Wisconsin","Court of Appeals for the Seventh Circuit","APPEALS_TO"
"Court of Appeals for the Seventh Circuit","Supreme Court of the United States","APPEALS_TO"
"District Court, E.D. Arkansas","Court of Appeals for the Eighth Circuit","APPEALS_TO"
"District Court, E.D. Missouri","Court of Appeals for the Eighth Circuit","APPEALS_TO"
"District Court, W.D. Missouri","Court of Appeals for the Eighth Circuit","APPEALS_TO"
