Title,Citation,CitedCaseName
"Alexander v. Take-Two Interactive Software, Inc.",682 F.3d 687,"Brownmark Films, LLC v. Comedy Partners"
"Alexander v. Take-Two Interactive Software, Inc.",336 F.3d 811,Kelly v. Arriba Soft Corp.
"Alexander v. Take-Two Interactive Software, Inc.",292 F.3d 512,"Ty, Inc. v. Publications Intern. Ltd."
"Alexander v. Take-Two Interactive Software, Inc.",471 U.S. 539,"Harper & Row Publishers, Inc. v. Nation Enterprises"
"Alexander v. Take-Two Interactive Software, Inc.",489 F.Supp.3d 812,"Alexander v. Take-Two Interactive Software, Inc."
"Alexander v. Take-Two Interactive Software, Inc.",126 F.3d 70,"Ringgold v. Black Entertainment Television, Inc."
"Alexander v. Take-Two Interactive Software, Inc.",766 F.3d 756,Kienitz v. Sconnie Nation LLC
"Alexander v. Take-Two Interactive Software, Inc.",510 U.S. 569,"Campbell v. Acuff-Rose Music, Inc."
"Alexander v. Take-Two Interactive Software, Inc.",448 F.3d 605,Bill Graham Archives v. Dorling Kindersley Ltd.
"American Society for Testing and Materials v. UpCodes, Inc.",471 U.S. 539,"Harper & Row Publishers, Inc. v. Nation Enterprises"
"American Society for Testing and Materials v. UpCodes, Inc.",896 F.3d 437,"American Society for Testing and Materials, et al. v. Public.Resource.Org, Inc."
"American Society for Testing and Materials v. UpCodes, Inc.",464 U.S. 417,"Sony Corp. of America v. Universal City Studios, Inc."
"American Society for Testing and Materials v. UpCodes, Inc.",562 F.3d 630,"A.V. ex rel. Vanderhye v. iParadigms, LLC"
"American Society for Testing and Materials v. UpCodes, Inc.",510 U.S. 569,"Campbell v. Acuff-Rose Music, Inc."
"American Society for Testing and Materials v. UpCodes, Inc.",82 F.4th 1262,"American Society for Testing and Materials v. Public.Resource.Org, Inc."
"American Society for Testing and Materials v. UpCodes, Inc.",756 F.3d 73,Swatch Group Management Services Ltd. v. Bloomberg L.P.
"American Society for Testing and Materials v. UpCodes, Inc.",598 U.S. 508,"Andy Warhol Foundation for the Visual Arts, Inc. v. Goldsmith"
"American Society for Testing and Materials v. UpCodes, Inc.",593 U.S. 1,"Google LLC v. Oracle America, Inc."
"American Society for Testing and Materials v. UpCodes, Inc.",804 F.3d 202,"Authors Guild v. Google, Inc."
"Apple Inc. v. Corellium, LLC",750 F.3d 1339,"Oracle America, Inc. v. Google Inc."
"Apple Inc. v. Corellium, LLC",495 U.S. 207,Stewart v. Abend
"Apple Inc. v. Corellium, LLC",886 F.3d 1179,"Oracle America, Inc. v. Google LLC"
"Apple Inc. v. Corellium, LLC",804 F.3d 202,"Authors Guild v. Google, Inc."
"Apple Inc. v. Corellium, LLC",562 F.3d 630,"A.V. ex rel. Vanderhye v. iParadigms, LLC"
"Apple Inc. v. Corellium, LLC",977 F.2d 1510,"Sega Enterprises Ltd. v. Accolade, Inc."
"Apple Inc. v. Corellium, LLC",471 U.S. 539,"Harper & Row Publishers, Inc. v. Nation Enterprises"
"Apple Inc. v. Corellium, LLC",510 F.Supp.3d 1269,"Apple Inc. v. Corellium, LLC"
"Apple Inc. v. Corellium, LLC",203 F.3d 596,"Sony Computer Entertainment, Inc. v. Connectix Corp."
"Apple Inc. v. Corellium, LLC",533 F.3d 1287,"Peter Letterese And Associates, Inc. v. World Institute Of Scientology Enterprises"
"Apple Inc. v. Corellium, LLC",769 F.3d 1232,Cambridge University Press v. Patton
"Apple Inc. v. Corellium, LLC",387 F.3d 522,"Lexmark Intern., Inc. v. Static Control Components, Inc."
"Apple Inc. v. Corellium, LLC",510 U.S. 569,"Campbell v. Acuff-Rose Music, Inc."
"Assessment Technologies Institute, LLC v. Parkes",588 F.Supp.3d 1178,"Assessment Technologies Institute, LLC v. Parkes"
"Assessment Technologies Institute, LLC v. Parkes",166 F.3d 65,"Nihon Keizai Shimbun, Inc. v. Comline Business Data, Inc."
"Assessment Technologies Institute, LLC v. Parkes",989 F.3d 1205,"MidlevelU, Inc. v. ACI Information Group"
Atari Games Corp. v. Nintendo of America Inc.,464 U.S. 417,"Sony Corp. of America v. Universal City Studios, Inc."
Atari Games Corp. v. Nintendo of America Inc.,964 F.2d 965,"Lewis Galoob Toys, Inc. v. Nintendo of America, Inc."
Atari Games Corp. v. Nintendo of America Inc.,471 U.S. 539,"Harper & Row Publishers, Inc. v. Nation Enterprises"
Atari Games Corp. v. Nintendo of America Inc.,975 F.2d 832,Atari Games Corp. v. Nintendo of America Inc.
"Brown v. Netflix, Inc.",462 F.Supp.3d 453,"Brown v. Netflix, Inc."
"Brown v. Netflix, Inc.",839 F.3d 168,TCA Television Corp. v. McCollum
"Brown v. Netflix, Inc.",467 F.3d 244,Blanch v. Koons
"Brown v. Netflix, Inc.",883 F.3d 169,"Fox News Network, LLC v. Tveyes, Inc."
"Brown v. Netflix, Inc.",714 F.3d 694,Cariou v. Prince
"Brown v. Netflix, Inc.",804 F.3d 202,"Authors Guild v. Google, Inc."
