Title,Court Line,Citation,OpinionURL,CourtListenerCaseName,Match
O'Neil v. Ratajkowski,"United States District Court, S.D. New York.",563 F.Supp.3d 112,,,0
"Furie v. Infowars, LLC","United States District Court, C.D. California.",401 F.Supp.3d 952,,,0
"Advanta-STAR Automotive Research Corporation of America v. Search Optics, LLC","United States District Court, S.D. California.",672 F.Supp.3d 1035,,,0
"4DD Holdings, LLC v. United States",United States Court of Federal Claims.,143 Fed.Cl. 118,,,0
"Apple Inc. v. Corellium, LLC","United States District Court, S.D. Florida.",510 F.Supp.3d 1269,,,0
"Whiddon v. Buzzfeed, Inc.","United States District Court, S.D. New York.",638 F.Supp.3d 342,,,0
"Nicklen v. Sinclair Broadcast Group, Inc.","United States District Court, S.D. New York.",551 F.Supp.3d 188,,,0
"Cable/Home Communication Corp. v. Network Productions, Inc.","United States Court of Appeals, Eleventh Circuit.",902 F.2d 829,,,0
"Comerica Bank & Trust, N.A. v. Habib","United States District Court, D. Massachusetts.",433 F.Supp.3d 79,,,0
"Walsh v. Townsquare Media, Inc.","United States District Court, S.D. New York.",464 F.Supp.3d 570,,,0
Monbo v. Nathan,"United States District Court, E.D. New York.",623 F.Supp.3d 56,,,0
"LMNOPI v. XYZ Films, LLC","United States District Court, E.D. New York.",449 F.Supp.3d 86,,,0
"In re DMCA § 512(h) Subpoena to Twitter, Inc.","United States District Court, N.D. California.",608 F.Supp.3d 868,,,0
"Lombardo v. Dr. Seuss Enterprises, L.P.","United States District Court, S.D. New York.",279 F.Supp.3d 497,,,0
"Ace Arts, LLC v. Sony/ATV Music Pub., LLC","United States District Court, S.D. New York.",56 F.Supp.3d 436,,,0
"Frazetta v. Vanguard Productions, LLC","United States District Court, M.D. Florida, Tampa Division.",716 F.Supp.3d 1265,,,0
"CCA and B, LLC v. F ± W Media Inc.","United States District Court, N.D. Georgia, Atlanta Division.",819 F.Supp.2d 1310,/opinion/4284186/samson-lone-star-limited-partnership-nka-samson-lone-star-llc-v/,"Samson Lone Star Limited Partnership, N/K/A Samson Lone Star, L.L.C. v. Charles G. Hooks, III, Individually and as Independent of the Estate of Charles G. Hooks, Jr., as Trustee of the Scott Ira McKeever Trust and the David Wayne McKeever Trust, and on Behalf of Chas. G. Hooks & Son, a General Partnership",29
Channel 781 News v. Waltham Community Access Corporation,"United States District Court, D. Massachusetts.",--- F.Supp.3d ----,/opinion/7327095/godinez-v-alere-inc/,Godinez v. Alere Inc.,30
Andersen v. Stability AI Ltd.,"United States District Court, N.D. California.",700 F.Supp.3d 853,/opinion/8521259/enron-corp-v-jp-morgan-securities-inc-in-re-enron-corp/,"Enron Corp. v. J.P. Morgan Securities, Inc. (In re Enron Corp.)",34
"Perfect 10, Inc. v. Amazon.com, Inc.","United States Court of Appeals, Ninth Circuit.",508 F.3d 1146,/opinion/7316735/kennedy-v-gish-sherwood-friends-inc/,"Kennedy v. Gish, Sherwood & Friends, Inc.",35
Oppenheimer v. ACL LLC,"United States District Court, W.D. North Carolina, Charlotte Division.",504 F.Supp.3d 503,/opinion/8788868/in-re-the-complaint-of-ingram-barge-co/,In re the Complaint of Ingram Barge Co.,37
Marano v. Metropolitan Museum of Art,"United States District Court, S.D. New York.",472 F.Supp.3d 76,/opinion/6445727/bell-v-eagle-mountain-saginaw/,Bell v. Eagle Mountain Saginaw,38
Marano v. Metropolitan Museum of Art,"United States Court of Appeals, Second Circuit.",844 Fed.Appx. 436,/opinion/6445727/bell-v-eagle-mountain-saginaw/,Bell v. Eagle Mountain Saginaw,38
"Perfect 10, Inc. v. Yandex N.V.","United States District Court, N.D. California.",962 F.Supp.2d 1146,/opinion/7314409/bwp-media-usa-inc-v-hollywood-fan-sites-llc/,BWP Media USA Inc. v. Hollywood Fan Sites LLC,38
"In re DMCA Section 512(h) Subpoena to YouTube (Google, Inc.)","United States District Court, S.D. New York.",581 F.Supp.3d 509,/opinion/7317239/bmg-rights-management-us-llc-v-cox-communications-inc/,"BMG Rights Management (US) LLC v. Cox Communications, Inc.",39
"National Academy of Television Arts and Sciences, Inc. v. Multimedia System Design, Inc.","United States District Court, S.D. New York.",551 F.Supp.3d 408,/opinion/2150449/mattel-inc-v-mga-entertainment-inc/,"Mattel, Inc. v. MGA ENTERTAINMENT, INC.",39
"Devil's Advocate, LLC v. Zurich American Insurance Company","United States Court of Appeals, Fourth Circuit.",666 Fed.Appx. 256,/opinion/2323318/in-re-alstom-sa-securities-litigation/,In Re Alstom SA Securities Litigation,39
"Facility Guidelines Institute, Inc. v. UpCodes, Inc.","United States District Court, E.D. Missouri, Eastern Division.",677 F.Supp.3d 955,/opinion/1978734/goldstar-medical-services-inc-v-department-of-social-services/,"Goldstar Medical Services, Inc. v. Department of Social Services",40
"Yang v. Mic Network, Inc.","United States District Court, S.D. New York.",405 F.Supp.3d 537,/opinion/4297107/in-re-robinson-helicopter-company-inc/,"in Re Robinson Helicopter Company, Inc.",41
"Solid Oak Sketches, LLC v. 2K Games, Inc.","United States District Court, S.D. New York.",449 F.Supp.3d 333,/opinion/7335900/craig-v-umg-recordings-inc/,"Craig v. UMG Recordings, Inc.",41
Los Angeles News Service v. KCAL-TV Channel 9,"United States Court of Appeals, Ninth Circuit.",108 F.3d 1119,/opinion/7316360/equals-three-llc-v-jukin-media-inc/,"Equals Three, LLC v. Jukin Media, Inc.",41
Thomson Reuters Enterprise Centre GmbH v. Ross Intelligence Inc.,"United States District Court, D. Delaware.",694 F.Supp.3d 467,/opinion/2509111/united-states-v-philip-morris-usa-inc/,"United States v. Philip Morris USA, Inc.",44
Thomson Reuters Enterprise Centre GMBH v. Ross Intelligence Inc.,"United States District Court, D. Delaware.",--- F.Supp.3d ----,/opinion/2509111/united-states-v-philip-morris-usa-inc/,"United States v. Philip Morris USA, Inc.",44
White v. West Pub. Corp.,"United States District Court, S.D. New York.",29 F.Supp.3d 396,/opinion/9404857/tulare-lake-canal-co-v-stratford-pub-util-dist/,Tulare Lake Canal Co. v. Stratford Pub. Util. Dist.,45
"Golden v. Michael Grecco Productions, Inc.","United States District Court, E.D. New York.",524 F.Supp.3d 52,/opinion/2115565/cj-products-llc-v-snuggly-plushez-llc/,CJ PRODUCTS LLC v. Snuggly Plushez LLC,47
Warren Pub. Co. v. Spurlock,"United States District Court, E.D. Pennsylvania.",645 F.Supp.2d 402,/opinion/2113846/zurco-inc-v-sloan-valve-co/,"Zurco, Inc. v. Sloan Valve Co.",48
Philpot v. Media Research Center Inc.,"United States District Court, E.D. Virginia.",279 F.Supp.3d 708,/opinion/2709245/united-states-v-thomas-philpot/,United States v. Thomas Philpot,52
Katz v. Google Inc.,"United States Court of Appeals, Eleventh Circuit.",802 F.3d 1178,/opinion/2959692/raanan-katz-v-irina-chevaldina/,Raanan Katz v. Irina Chevaldina,52
"Alexander v. Take-Two Interactive Software, Inc.","United States District Court, S.D. Illinois.",489 F.Supp.3d 812,/opinion/4276173/in-re-solid-software-solutions-inc-dba-edible-software/,"in Re Solid Software Solutions, Inc., D/B/A Edible Software",57
