CaseName,PageRank,Court
Monsarrat v. Newman,0.15000000000000002,Court of Appeals for the First Circuit
"Society of Holy Transfiguration Monastery, Inc. v. Gregory",0.22520481408735066,Court of Appeals for the First Circuit
Nunez v. Caribbean Intern. News Corp.,0.4145152736496899,Court of Appeals for the First Circuit
Bassett v. Jensen,0.15000000000000002,"District Court, D. Massachusetts"
"Richards v. Merriam Webster, Inc.",0.15000000000000002,"District Court, D. Massachusetts"
"Society of the Holy Transfiguration Monastery, Inc. v. Archbishop Gregory of Denver, Colorado",0.15000000000000002,"District Court, D. Massachusetts"
"Fitzgerald v. CBS Broadcasting, Inc.",0.23463597899228425,"District Court, D. Massachusetts"
Monsarrat v. Newman,0.15000000000000002,"District Court, D. Massachusetts"
"Homeowner Options for Massachusetts Elders, Inc. v. Brookline Bancorp, Inc.",0.15000000000000002,"District Court, D. Massachusetts"
Golan v. Holder,0.1620014204545455,Supreme Court of the United States
"Sony Corp. of America v. Universal City Studios, Inc.",2.561555928867366,Supreme Court of the United States
"American Broadcasting Companies, Inc. v. Aereo, Inc.",0.15000000000000002,Supreme Court of the United States
"Harper & Row Publishers, Inc. v. Nation Enterprises",5.428510825759696,Supreme Court of the United States
"Campbell v. Acuff-Rose Music, Inc.",2.624763753362108,Supreme Court of the United States
Stewart v. Abend,0.7770658918634817,Supreme Court of the United States
"Google LLC v. Oracle America, Inc.",0.2355059523809524,Supreme Court of the United States
"Andy Warhol Foundation for Visual Arts, Inc. v. Goldsmith",0.24719345238095242,Court of Appeals for the Second Circuit
Meeropol v. Nizer,1.19697898034546,Court of Appeals for the Second Circuit
Swatch Group Management Services Ltd. v. Bloomberg L.P.,0.33613794206395653,Court of Appeals for the Second Circuit
"Fox News Network, LLC v. Tveyes, Inc.",0.20660525305134686,Court of Appeals for the Second Circuit
Reyher v. Children's Television Workshop,0.4633518404094024,Court of Appeals for the Second Circuit
"Castle Rock Entertainment, Inc. v. Carol Pub. Group, Inc.",0.5376697038001462,Court of Appeals for the Second Circuit
Rogers v. Koons,0.631075486229048,Court of Appeals for the Second Circuit
"Authors Guild, Inc. v. HathiTrust",0.38315217510678296,Court of Appeals for the Second Circuit
Leibovitz v. Paramount Pictures Corp.,0.3004363743033427,Court of Appeals for the Second Circuit
Estate of Smith v. Graham,0.15000000000000002,Court of Appeals for the Second Circuit
"Arica Institute, Inc. v. Palmer",0.24691640236641704,Court of Appeals for the Second Circuit
"New Era Publications Intern., ApS v. Carol Pub. Group",0.5239541727629683,Court of Appeals for the Second Circuit
Weissmann v. Freeman,0.4423425379000663,Court of Appeals for the Second Circuit
Infinity Broadcast Corp. v. Kirkwood,0.8005137532060621,Court of Appeals for the Second Circuit
"Hachette Book Group, Inc. v. Internet Archive",0.15000000000000002,Court of Appeals for the Second Circuit
"Wright v. Warner Books, Inc.",0.44854947454292937,Court of Appeals for the Second Circuit
"Roy Export Co. Establishment of Vaduz, Liechtenstein v. Columbia Broadcasting System, Inc.",0.2376450282775411,Court of Appeals for the Second Circuit
"Iowa State University Research Foundation, Inc. v. American Broadcasting Companies, Inc.",0.7964780708051822,Court of Appeals for the Second Circuit
"MCA, Inc. v. Wilson",0.5246483074399724,Court of Appeals for the Second Circuit
"Nihon Keizai Shimbun, Inc. v. Comline Business Data, Inc.",0.22816061266694038,Court of Appeals for the Second Circuit
"Authors Guild v. Google, Inc.",0.42825528173575006,Court of Appeals for the Second Circuit
"On Davis v. The Gap, Inc.",0.5102398791579559,Court of Appeals for the Second Circuit
"Salinger v. Random House, Inc.",0.5390233777516753,Court of Appeals for the Second Circuit
"Capitol Records, LLC v. ReDigi Inc.",0.18853072390572392,Court of Appeals for the Second Circuit
TCA Television Corp. v. McCollum,0.22175710227272732,Court of Appeals for the Second Circuit
"Twin Peaks Productions, Inc. v. Publications Intern., Ltd.",0.3860441388923671,Court of Appeals for the Second Circuit
Cariou v. Prince,0.5230932648346993,Court of Appeals for the Second Circuit
American Geophysical Union v. Texaco Inc.,0.7756873368711046,Court of Appeals for the Second Circuit
Blanch v. Koons,0.5697022449268015,Court of Appeals for the Second Circuit
"Universal City Studios, Inc. v. Corley",0.21721529095279962,Court of Appeals for the Second Circuit
"Louis Vuitton Malletier, S.A. v. My Other Bag, Inc.",0.16526136363636365,Court of Appeals for the Second Circuit
"Merkos L'Inyonei Chinuch, Inc. v. Otsar Sifrei Lubavitch, Inc.",0.16821428571428573,Court of Appeals for the Second Circuit
"Harper & Row Publishers, Inc. v. Nation Enterprises",5.428510825759696,Court of Appeals for the Second Circuit
"Ringgold v. Black Entertainment Television, Inc.",0.5048215895599887,Court of Appeals for the Second Circuit
"Warner Bros. Inc. v. American Broadcasting Companies, Inc.",0.3686492240110616,Court of Appeals for the Second Circuit
Bill Graham Archives v. Dorling Kindersley Ltd.,0.5507105804254231,Court of Appeals for the Second Circuit
NXIVM Corp. v. Ross Institute,0.45484695728348545,Court of Appeals for the Second Circuit
"Ranieri v. Adirondack Dev. Group, LLC",0.16416666666666668,"District Court, N.D. New York"
Hosseinzadeh v. Klein,0.16159090909090912,"District Court, S.D. New York"
"Authors Guild, Inc. v. Google Inc.",0.20373040929028885,"District Court, S.D. New York"
Swatch Group Management Services Ltd. v. Bloomberg L.P.,0.33613794206395653,"District Court, S.D. New York"
Adjmi v. DLT Entertainment Ltd.,0.16188068181818185,"District Court, S.D. New York"
Graham v. Prince,0.15000000000000002,"District Court, S.D. New York"
"Basic Books, Inc. v. Kinko's Graphics Corp.",0.2374057146094546,"District Court, S.D. New York"
"Associated Press v. Meltwater U.S. Holdings, Inc.",0.18351228178524376,"District Court, S.D. New York"
"Arrow Productions, LTD. v. Weinstein Co. LLC",0.1809212055657815,"District Court, S.D. New York"
Cariou v. Prince,0.5230932648346993,"District Court, S.D. New York"
"BWP Media USA, Inc. v. Gossip Cop Media, Inc.",0.18001933053359687,"District Court, S.D. New York"
"Gym Door Repairs, Inc. v. Young Equipment Sales, Inc.",0.16062500000000002,"District Court, S.D. New York"
"Capitol Records, LLC v. ReDigi Inc.",0.18853072390572392,"District Court, S.D. New York"
"Otto v. Hearst Communications, Inc.",0.15000000000000002,"District Court, S.D. New York"
TCA Television Corp. v. McCollum,0.22175710227272732,"District Court, S.D. New York"
Oyewole v. Ora,0.16159090909090912,"District Court, S.D. New York"
Warner Bros. Entertainment Inc. v. RDR Books,0.21700149857248874,"District Court, S.D. New York"
